site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/1/2025 12:00:00 AM,1.29,1.29,0,1,100,100,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/2/2025 12:00:00 AM,10.6,-2.6,0,20,100,69,-4.269697,-4.269697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/3/2025 12:00:00 AM,8.87,0.6,0,19,100,77,-8.404697,-4.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/4/2025 12:00:00 AM,9.4,1.73,0,19,100,67,-12.2396965,-3.8349996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/5/2025 12:00:00 AM,5.33,-1.2,0,19,100,77,-14.414957,-2.1752603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/6/2025 12:00:00 AM,5.63,1.52,0,13,100,80,-16.469957,-2.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/7/2025 12:00:00 AM,5.97,3.34,0,24,100,88,-17.784958,-1.3149998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/8/2025 12:00:00 AM,6.46,1.43,1.1,24,100,89,-20.299957,-2.5149999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/9/2025 12:00:00 AM,6,3.03,0,24,99,86,-21.784958,-1.4849999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/10/2025 12:00:00 AM,7.7,4.3,1.9,24,100,91,-23.484959,-1.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/11/2025 12:00:00 AM,10.1,4.03,0,9,100,48,-26.519135,-3.0341766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/12/2025 12:00:00 AM,7.07,-1.53,0,7,98,51,-29.425234,-2.9060988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/13/2025 12:00:00 AM,7.9,-3.67,0,4,90,43,-32.122295,-2.6970615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/14/2025 12:00:00 AM,6.83,-4.9,0,6,90,38,-34.11074,-1.9884442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/15/2025 12:00:00 AM,6.07,-1.93,0,1,87,42,-36.413548,-2.3028064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/16/2025 12:00:00 AM,7.17,-3.6,0,1,89,44,-38.80022,-2.3866713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/17/2025 12:00:00 AM,7.72,-1.83,0,7,100,67,-41.920555,-3.1203349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/18/2025 12:00:00 AM,8.3,-2.3,0,16,100,56,-45.170082,-3.2495282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/19/2025 12:00:00 AM,6.43,-1.9,0.2,13,100,65,-47.651768,-2.4816866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/20/2025 12:00:00 AM,7.5,3.22,2.6000001,14,100,72,-49.791767,-2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/21/2025 12:00:00 AM,7,4.4,4,23,100,84,-51.091766,-1.2999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/22/2025 12:00:00 AM,9.1,1,0.3,18,100,80,-55.141766,-4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/23/2025 12:00:00 AM,6.33,4.63,4.2000003,20,100,79,-55.991764,-0.8499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/24/2025 12:00:00 AM,6.9,5.9,1.2,24,100,96,-56.491764,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/25/2025 12:00:00 AM,8.43,1.1,0,24,100,93,-60.156765,-3.6650004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/26/2025 12:00:00 AM,7.55,5.13,0,24,100,95,-61.366764,-1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/27/2025 12:00:00 AM,8.5,1.3,2.7,24,100,91,-64.96677,-3.6000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/28/2025 12:00:00 AM,9.97,4.53,0,24,100,90,-67.68677,-2.7199998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/29/2025 12:00:00 AM,18,6.88,0,8,98,45,-70.36907,-2.6823025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/30/2025 12:00:00 AM,13.3,2.6,0,16,100,61,-75.21019,-4.841121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,1/31/2025 12:00:00 AM,10.8,0.7,0,17,100,73,-80.22851,-5.018317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/1/2025 12:00:00 AM,8.03,1.73,7.2,24,100,93,-83.37851,-3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/2/2025 12:00:00 AM,9.67,6.72,3.6000001,24,100,88,-84.85351,-1.4749999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/3/2025 12:00:00 AM,11.6,4.94,0,21,100,82,-87.99132,-3.137808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/4/2025 12:00:00 AM,12.2,0.3,0,18,100,75,-93.73795,-5.7466383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/5/2025 12:00:00 AM,10.57,-2.7,0,12,100,50,-97.95988,-4.2219214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/6/2025 12:00:00 AM,11.8,-2.2,0,17,96,68,-103.04845,-5.0885715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/7/2025 12:00:00 AM,9.2,-1.63,0,17,100,61,-103.04845,-3.9076638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/8/2025 12:00:00 AM,7.63,-1.8,0,12,100,76,-103.04845,-3.086792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/9/2025 12:00:00 AM,6.4,4.12,5.1,10,100,70,-103.04845,-1.1400003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/10/2025 12:00:00 AM,6.57,3.7,7.2000003,24,100,97,-103.04845,-1.4350002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/11/2025 12:00:00 AM,9.33,5.83,0,24,100,86,-103.04845,-1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/12/2025 12:00:00 AM,10.37,5,5.6,21,100,83,-103.0357,-2.6722531,0.012746734,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/13/2025 12:00:00 AM,9.2,7.43,6.6,24,100,97,-103.0357,-0.88499975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/14/2025 12:00:00 AM,10.8,7.64,3.3000002,23,100,85,-102.93443,-1.4787345,0.101265855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/15/2025 12:00:00 AM,9.7,3.42,13.2,22,100,59,-102.93443,-3.1399999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/16/2025 12:00:00 AM,9.3,0.48,0,6,94,46,-102.93443,-4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/17/2025 12:00:00 AM,7.7,-3.2,0,13,100,57,-102.93443,-2.7197247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/18/2025 12:00:00 AM,6.43,-1.6,0,10,100,54,-102.93443,-2.5744023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/19/2025 12:00:00 AM,5.17,0.52,0,7,100,63,-102.93443,-2.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/20/2025 12:00:00 AM,5.93,0.45,0,0,76,51,-102.93443,-2.7399998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/21/2025 12:00:00 AM,8.77,-2.37,0,2,92,43,-102.93443,-3.4521053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/22/2025 12:00:00 AM,12.07,-3.2,0,13,100,50,-102.79413,-4.9106026,0.14030448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/23/2025 12:00:00 AM,11.83,3.1,0,5,99,66,-102.602325,-4.1731963,0.19180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/24/2025 12:00:00 AM,12.17,7.07,0,18,100,80,-102.14067,-2.0883427,0.46165693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/25/2025 12:00:00 AM,12.8,8.1,0.8,23,100,85,-101.306625,-1.5159576,0.8340427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/26/2025 12:00:00 AM,11.27,8.07,0.9,24,100,92,-101.05461,-1.3479847,0.25201574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/27/2025 12:00:00 AM,10.37,7.98,16.8,24,98,87,-101.02597,-1.16636,0.028640151,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,2/28/2025 12:00:00 AM,14.6,6.34,1,15,94,67,-99.7451,-2.8491282,1.2808719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/1/2025 12:00:00 AM,11.13,2.03,4.2,24,96,86,-99.67494,-4.4798408,0.07015935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/2/2025 12:00:00 AM,10.7,5.32,1.4,20,93,82,-99.6294,-2.6444612,0.045539014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/3/2025 12:00:00 AM,12.43,1.33,0,11,93,60,-99.36342,-5.2840137,0.26598653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/4/2025 12:00:00 AM,14.07,-0.23,0,8,100,44,-98.784225,-7.501042,0.5791923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/5/2025 12:00:00 AM,15.5,0.1,0,9,99,45,-97.802086,-6.7178574,0.98214287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/6/2025 12:00:00 AM,16.67,-0.03,0,9,100,39,-96.470085,-9.65203,1.3320029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/7/2025 12:00:00 AM,17,0.1,0,10,100,39,-95.02038,-7.0002956,1.4497042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/8/2025 12:00:00 AM,15.8,-1.1,0,11,100,46,-94.02511,-8.381065,0.9952664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/9/2025 12:00:00 AM,16.9,0.4,0,12,100,49,-92.58238,-6.807273,1.4427271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/10/2025 12:00:00 AM,14.93,5.8,2,5,100,63,-91.251335,-3.2339535,1.3310461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/11/2025 12:00:00 AM,15.13,10.35,4.2,14,95,61,-88.51134,0,2.7399998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/12/2025 12:00:00 AM,15.5,7.7,1.6,11,100,62,-86.572235,-1.960898,1.9391025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/13/2025 12:00:00 AM,15.87,10.28,8.2,15,99,64,-83.49724,0,3.0749998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/14/2025 12:00:00 AM,17.3,8.3,0.5,11,100,42,-80.53668,-1.5394437,2.9605553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/15/2025 12:00:00 AM,12.74,10.21,17.4,22,100,83,-79.06168,0,1.4750004,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/16/2025 12:00:00 AM,14.63,9.99,7.7,23,100,76,-76.75167,-0.009989023,2.3100107,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/17/2025 12:00:00 AM,15.6,5.04,0,4,100,40,-75.26682,-3.7951512,1.4848486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/18/2025 12:00:00 AM,15.6,1,1.3,7,92,57,-74.19285,-6.2260275,1.0739727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/19/2025 12:00:00 AM,8.97,0.23,0.6,1,71,43,-74.19285,-4.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/20/2025 12:00:00 AM,11.93,-1.3,0,4,93,49,-74.05207,-5.5196447,0.1407748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/21/2025 12:00:00 AM,14.93,-1.1,0,10,93,41,-73.29396,-7.7108483,0.7581067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/22/2025 12:00:00 AM,12.47,1.7,0,16,99,83,-73.01073,-5.101764,0.28323588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/23/2025 12:00:00 AM,12.1,9.13,6.1,24,100,89,-72.2683,-0.74257517,0.7424245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/24/2025 12:00:00 AM,16.53,9.9,4.6,14,96,55,-69.05255,-0.09924626,3.2157543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/25/2025 12:00:00 AM,17.7,8.27,1.7,10,100,54,-65.90886,-1.5713093,3.1436908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/26/2025 12:00:00 AM,15.5,8.63,9.2,18,100,62,-63.707256,-1.2333992,2.2016013,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/27/2025 12:00:00 AM,17.6,5.3,1.4,16,100,50,-61.359287,-3.802033,2.3479676,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Sasso.csv,3/28/2025 12:00:00 AM,16.63,9.73,0.8,8,95,45,-58.174004,-0.26471782,3.185282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
