"site","year","month","day","tmax","tmin","prec"
"PU003_San Costanzo",2019,1,1,10.45,0.07,0
"PU003_San Costanzo",2019,1,2,7.48,1.85,1.5
"PU003_San Costanzo",2019,1,3,5.99,0.3,0
"PU003_San Costanzo",2019,1,4,4.35,-1,3.2
"PU003_San Costanzo",2019,1,5,6.94,-1.18,0
"PU003_San Costanzo",2019,1,6,8.24,-0.43,0
"PU003_San Costanzo",2019,1,7,8.82,-1.17,0
"PU003_San Costanzo",2019,1,8,9.43,-0.09,0
"PU003_San Costanzo",2019,1,9,6.96,1.42,0
"PU003_San Costanzo",2019,1,10,7.74,4.76,2.8
"PU003_San Costanzo",2019,1,11,6.91,-0.91,0
"PU003_San Costanzo",2019,1,12,9.35,0.51,0
"PU003_San Costanzo",2019,1,13,11.3,2.7,0
"PU003_San Costanzo",2019,1,14,10.4,1.8,0
"PU003_San Costanzo",2019,1,15,11.01,1.63,0
"PU003_San Costanzo",2019,1,16,14.77,2.37,0
"PU003_San Costanzo",2019,1,17,11.61,3.78,0
"PU003_San Costanzo",2019,1,18,7.63,2.53,21.2
"PU003_San Costanzo",2019,1,19,7.86,4.3,1.4
"PU003_San Costanzo",2019,1,20,6.37,2.57,12.9
"PU003_San Costanzo",2019,1,21,3.13,1.95,7.9
"PU003_San Costanzo",2019,1,22,1.92,1.19,5.8
"PU003_San Costanzo",2019,1,23,7.33,1.5,8.1
"PU003_San Costanzo",2019,1,24,8.61,3.92,0
"PU003_San Costanzo",2019,1,25,5.21,1,0
"PU003_San Costanzo",2019,1,26,6.92,-0.6,0
"PU003_San Costanzo",2019,1,27,13.29,1.51,3.1
"PU003_San Costanzo",2019,1,28,5.3,1.14,3.9
"PU003_San Costanzo",2019,1,29,6.52,1.27,7.9
"PU003_San Costanzo",2019,1,30,7.36,1.6,0
"PU003_San Costanzo",2019,1,31,7.69,4.7,0
"PU003_San Costanzo",2019,2,1,16.04,6.27,0
"PU003_San Costanzo",2019,2,2,14.54,5.12,10.8
"PU003_San Costanzo",2019,2,3,8.91,5.55,4.9
"PU003_San Costanzo",2019,2,4,10.39,3.3,0
"PU003_San Costanzo",2019,2,5,7.46,4.49,0
"PU003_San Costanzo",2019,2,6,9.77,1.06,0
"PU003_San Costanzo",2019,2,7,8.93,2.05,0
"PU003_San Costanzo",2019,2,8,9.22,0.9,0
"PU003_San Costanzo",2019,2,9,12.22,3.91,0
"PU003_San Costanzo",2019,2,10,15.02,7.44,0
"PU003_San Costanzo",2019,2,11,10.31,2.17,0
"PU003_San Costanzo",2019,2,12,10.84,-0.5,0
"PU003_San Costanzo",2019,2,13,9.61,1.24,0
"PU003_San Costanzo",2019,2,14,10.38,1.57,0
"PU003_San Costanzo",2019,2,15,10.83,1.56,0
"PU003_San Costanzo",2019,2,16,11.58,2.37,0
"PU003_San Costanzo",2019,2,17,12.23,2.08,0
"PU003_San Costanzo",2019,2,18,12.7,2.53,0
"PU003_San Costanzo",2019,2,19,12.25,1.25,0
"PU003_San Costanzo",2019,2,20,8.84,1.23,0
"PU003_San Costanzo",2019,2,21,9.97,2.06,0
"PU003_San Costanzo",2019,2,22,13.63,3.51,0
"PU003_San Costanzo",2019,2,23,6.03,4.03,0
"PU003_San Costanzo",2019,2,24,7.25,3.22,0
"PU003_San Costanzo",2019,2,25,10.53,3,0
"PU003_San Costanzo",2019,2,26,15.05,4.95,0
"PU003_San Costanzo",2019,2,27,15.63,4.8,0
"PU003_San Costanzo",2019,2,28,15.92,5.06,0
"PU003_San Costanzo",2019,3,1,14.83,5.27,0
"PU003_San Costanzo",2019,3,2,14.33,3.89,0
"PU003_San Costanzo",2019,3,3,14.41,5.39,0
"PU003_San Costanzo",2019,3,4,19.21,13.22,0
"PU003_San Costanzo",2019,3,5,17.86,7.72,0
"PU003_San Costanzo",2019,3,6,18.62,8.5,0
"PU003_San Costanzo",2019,3,7,23.31,8.77,0
"PU003_San Costanzo",2019,3,8,18.3,7.36,0
"PU003_San Costanzo",2019,3,9,19.06,7.42,0
"PU003_San Costanzo",2019,3,10,18.54,13.84,0
"PU003_San Costanzo",2019,3,11,17,5.53,8.4
"PU003_San Costanzo",2019,3,12,11.75,1.59,0
"PU003_San Costanzo",2019,3,13,13.92,6.23,1.3
"PU003_San Costanzo",2019,3,14,13.62,8.67,0
"PU003_San Costanzo",2019,3,15,18.39,12.29,0
"PU003_San Costanzo",2019,3,16,20.81,8.04,0
"PU003_San Costanzo",2019,3,17,16.37,8.07,0
"PU003_San Costanzo",2019,3,18,16.72,7.29,3.5
"PU003_San Costanzo",2019,3,19,10.97,7.09,2.5
"PU003_San Costanzo",2019,3,20,11.67,3.76,0
"PU003_San Costanzo",2019,3,21,12.11,3.59,0
"PU003_San Costanzo",2019,3,22,14,4.92,0
"PU003_San Costanzo",2019,3,23,16.25,5.85,0
"PU003_San Costanzo",2019,3,24,18.32,7.62,0
"PU003_San Costanzo",2019,3,25,21.82,6.85,11.4
"PU003_San Costanzo",2019,3,26,11.94,2.67,0
"PU003_San Costanzo",2019,3,27,12.65,3.06,0
"PU003_San Costanzo",2019,3,28,12.63,4.14,0
"PU003_San Costanzo",2019,3,29,13.49,4.59,0
"PU003_San Costanzo",2019,3,30,15.49,4.45,0
"PU003_San Costanzo",2019,3,31,16.13,5.78,0
"PU003_San Costanzo",2019,4,1,16.51,7.35,0
"PU003_San Costanzo",2019,4,2,17.41,12.64,0
"PU003_San Costanzo",2019,4,3,17.42,8.8,0
"PU003_San Costanzo",2019,4,4,17.99,7.92,12
"PU003_San Costanzo",2019,4,5,13.67,4.84,0
"PU003_San Costanzo",2019,4,6,14.75,8.05,0
"PU003_San Costanzo",2019,4,7,15.57,9.22,0
"PU003_San Costanzo",2019,4,8,13.1,8.36,1.7
"PU003_San Costanzo",2019,4,9,16.4,7.88,0
"PU003_San Costanzo",2019,4,10,17.09,7.42,0
"PU003_San Costanzo",2019,4,11,13.75,9.47,5.6
"PU003_San Costanzo",2019,4,12,13.8,8.52,0.9
"PU003_San Costanzo",2019,4,13,12.02,8.63,0
"PU003_San Costanzo",2019,4,14,13.46,10.16,2
"PU003_San Costanzo",2019,4,15,14.63,5.54,0
"PU003_San Costanzo",2019,4,16,15.54,6.24,0
"PU003_San Costanzo",2019,4,17,17.91,5.76,0
"PU003_San Costanzo",2019,4,18,17.78,6.73,0
"PU003_San Costanzo",2019,4,19,17.04,7,0
"PU003_San Costanzo",2019,4,20,17.55,7.68,0
"PU003_San Costanzo",2019,4,21,18.13,8.74,0
"PU003_San Costanzo",2019,4,22,15.68,13.32,11.6
"PU003_San Costanzo",2019,4,23,20.04,11.25,0
"PU003_San Costanzo",2019,4,24,21.63,11.92,0
"PU003_San Costanzo",2019,4,25,21.02,12.68,0
"PU003_San Costanzo",2019,4,26,20.83,9.53,0
"PU003_San Costanzo",2019,4,27,19.06,9.66,0
"PU003_San Costanzo",2019,4,28,20.25,5.83,8.8
"PU003_San Costanzo",2019,4,29,13.52,9.22,4.4
"PU003_San Costanzo",2019,4,30,17.79,12.23,0
"PU003_San Costanzo",2019,5,1,19.77,9.54,0
"PU003_San Costanzo",2019,5,2,23.71,14.1,0
"PU003_San Costanzo",2019,5,3,20.36,12.11,0
"PU003_San Costanzo",2019,5,4,17.04,10.55,0
"PU003_San Costanzo",2019,5,5,15.03,8.34,13.9
"PU003_San Costanzo",2019,5,6,13.43,7.44,0
"PU003_San Costanzo",2019,5,7,16.1,7.52,0
"PU003_San Costanzo",2019,5,8,19.73,11.81,4.2
"PU003_San Costanzo",2019,5,9,18.5,8.82,3.6
"PU003_San Costanzo",2019,5,10,20.11,9.64,0
"PU003_San Costanzo",2019,5,11,23.5,11.08,13.7
"PU003_San Costanzo",2019,5,12,14.03,12.11,33.1
"PU003_San Costanzo",2019,5,13,13.3,11.6,10.7
"PU003_San Costanzo",2019,5,14,12.74,7.61,1.3
"PU003_San Costanzo",2019,5,15,13.19,7.16,0
"PU003_San Costanzo",2019,5,16,15.38,7.76,0
"PU003_San Costanzo",2019,5,17,17.43,12.71,0
"PU003_San Costanzo",2019,5,18,18.21,12.65,3.6
"PU003_San Costanzo",2019,5,19,18.3,12.42,7
"PU003_San Costanzo",2019,5,20,20.56,11.53,0
"PU003_San Costanzo",2019,5,21,22.58,13.3,0
"PU003_San Costanzo",2019,5,22,21.97,14.38,0
"PU003_San Costanzo",2019,5,23,21.03,13.65,0
"PU003_San Costanzo",2019,5,24,21.94,14,0
"PU003_San Costanzo",2019,5,25,21.87,15.84,10.3
"PU003_San Costanzo",2019,5,26,17.79,14.92,9.3
"PU003_San Costanzo",2019,5,27,18.28,14.77,3.6
"PU003_San Costanzo",2019,5,28,18.58,14.36,7.9
"PU003_San Costanzo",2019,5,29,16.22,12.85,16.7
"PU003_San Costanzo",2019,5,30,17.49,11.36,2.8
"PU003_San Costanzo",2019,5,31,21.29,12.15,0
"PU003_San Costanzo",2019,6,1,23.62,16.08,0
"PU003_San Costanzo",2019,6,2,24.81,15.87,0
"PU003_San Costanzo",2019,6,3,26.94,17.14,0
"PU003_San Costanzo",2019,6,4,27.19,16.63,0
"PU003_San Costanzo",2019,6,5,26.47,15.76,0
"PU003_San Costanzo",2019,6,6,26.83,14.97,0
"PU003_San Costanzo",2019,6,7,24.63,17.08,0
"PU003_San Costanzo",2019,6,8,26.06,18.19,0
"PU003_San Costanzo",2019,6,9,26.82,17.95,0
"PU003_San Costanzo",2019,6,10,29.1,19.38,0
"PU003_San Costanzo",2019,6,11,28.97,19.57,0
"PU003_San Costanzo",2019,6,12,28.29,18.9,0
"PU003_San Costanzo",2019,6,13,26.92,17.74,0
"PU003_San Costanzo",2019,6,14,28.84,22.15,0
"PU003_San Costanzo",2019,6,15,30.2,18.43,0
"PU003_San Costanzo",2019,6,16,28.18,18.8,0
"PU003_San Costanzo",2019,6,17,26.97,18.25,0
"PU003_San Costanzo",2019,6,18,27.91,18.94,0
"PU003_San Costanzo",2019,6,19,28.74,19.34,0
"PU003_San Costanzo",2019,6,20,29.78,17.69,0
"PU003_San Costanzo",2019,6,21,28.82,20.03,0
"PU003_San Costanzo",2019,6,22,26.25,17.01,13.5
"PU003_San Costanzo",2019,6,23,26.41,18.51,0
"PU003_San Costanzo",2019,6,24,27.46,19.28,0
"PU003_San Costanzo",2019,6,25,28.91,19.88,0
"PU003_San Costanzo",2019,6,26,30.16,20.2,0
"PU003_San Costanzo",2019,6,27,33.47,22.42,0
"PU003_San Costanzo",2019,6,28,31.75,19.67,0
"PU003_San Costanzo",2019,6,29,28.19,17.63,0
"PU003_San Costanzo",2019,6,30,29.69,18.96,0
"PU003_San Costanzo",2019,7,1,31.1,21.23,0
"PU003_San Costanzo",2019,7,2,30.38,21.47,0
"PU003_San Costanzo",2019,7,3,30.34,20.11,13.7
"PU003_San Costanzo",2019,7,4,27.96,20.02,0
"PU003_San Costanzo",2019,7,5,30.64,21.59,0
"PU003_San Costanzo",2019,7,6,33.16,23.84,0
"PU003_San Costanzo",2019,7,7,33.82,21.89,0
"PU003_San Costanzo",2019,7,8,30.06,22.38,0
"PU003_San Costanzo",2019,7,9,30.77,18.41,33.3
"PU003_San Costanzo",2019,7,10,24.48,15.4,28.2
"PU003_San Costanzo",2019,7,11,25.68,17.85,4.1
"PU003_San Costanzo",2019,7,12,26.44,18.83,0
"PU003_San Costanzo",2019,7,13,25.62,17.07,0
"PU003_San Costanzo",2019,7,14,26.55,19.5,0
"PU003_San Costanzo",2019,7,15,24.54,17.7,1.1
"PU003_San Costanzo",2019,7,16,26.02,15.89,0
"PU003_San Costanzo",2019,7,17,27.75,16.59,0
"PU003_San Costanzo",2019,7,18,28.07,18.76,0
"PU003_San Costanzo",2019,7,19,28.25,19.43,0
"PU003_San Costanzo",2019,7,20,29.93,21.8,0
"PU003_San Costanzo",2019,7,21,31.24,20.38,0
"PU003_San Costanzo",2019,7,22,29.08,20.58,0
"PU003_San Costanzo",2019,7,23,30.14,20.64,0
"PU003_San Costanzo",2019,7,24,31.39,22.02,0
"PU003_San Costanzo",2019,7,25,33,23.08,0
"PU003_San Costanzo",2019,7,26,33.36,22.64,0
"PU003_San Costanzo",2019,7,27,32.44,19.1,50.1
"PU003_San Costanzo",2019,7,28,27.04,19.1,8
"PU003_San Costanzo",2019,7,29,28.66,21.05,0
"PU003_San Costanzo",2019,7,30,29.5,21.16,0
"PU003_San Costanzo",2019,7,31,31.52,21.33,0
"PU003_San Costanzo",2019,8,1,29.19,20.71,0
"PU003_San Costanzo",2019,8,2,30.9,18.16,6.9
"PU003_San Costanzo",2019,8,3,26.85,17.62,0
"PU003_San Costanzo",2019,8,4,28,18.36,0
"PU003_San Costanzo",2019,8,5,29.94,19.64,0
"PU003_San Costanzo",2019,8,6,31.04,22.19,0
"PU003_San Costanzo",2019,8,7,30.39,21.88,0
"PU003_San Costanzo",2019,8,8,28.84,21.79,0
"PU003_San Costanzo",2019,8,9,29.43,22.08,0
"PU003_San Costanzo",2019,8,10,31.44,21.41,0
"PU003_San Costanzo",2019,8,11,31.24,22.46,0
"PU003_San Costanzo",2019,8,12,33.2,24.63,0
"PU003_San Costanzo",2019,8,13,29.83,20.96,11.1
"PU003_San Costanzo",2019,8,14,25.94,18.11,0
"PU003_San Costanzo",2019,8,15,26.07,17.9,0
"PU003_San Costanzo",2019,8,16,26.06,16.32,0
"PU003_San Costanzo",2019,8,17,27.91,18.79,0
"PU003_San Costanzo",2019,8,18,29.2,20.59,0
"PU003_San Costanzo",2019,8,19,30.33,21.02,0
"PU003_San Costanzo",2019,8,20,30.01,21.23,0
"PU003_San Costanzo",2019,8,21,28.89,22.14,0
"PU003_San Costanzo",2019,8,22,27.73,20.9,8.6
"PU003_San Costanzo",2019,8,23,26.12,21.23,4.4
"PU003_San Costanzo",2019,8,24,27.54,22.02,0
"PU003_San Costanzo",2019,8,25,26.9,20.63,0
"PU003_San Costanzo",2019,8,26,28.04,19.88,0
"PU003_San Costanzo",2019,8,27,28.69,20.03,0
"PU003_San Costanzo",2019,8,28,29.01,20.5,0
"PU003_San Costanzo",2019,8,29,28.07,20.51,0
"PU003_San Costanzo",2019,8,30,29.09,20.69,0
"PU003_San Costanzo",2019,8,31,28.53,20.62,0
"PU003_San Costanzo",2019,9,1,27.92,20.2,0
"PU003_San Costanzo",2019,9,2,28.05,19.63,12.7
"PU003_San Costanzo",2019,9,3,24.28,17.38,12.3
"PU003_San Costanzo",2019,9,4,24.42,15.48,0
"PU003_San Costanzo",2019,9,5,25.58,17.05,0
"PU003_San Costanzo",2019,9,6,22.07,16.36,3.2
"PU003_San Costanzo",2019,9,7,23.12,15.54,4.7
"PU003_San Costanzo",2019,9,8,27.5,14.27,1.4
"PU003_San Costanzo",2019,9,9,22.12,13.51,0
"PU003_San Costanzo",2019,9,10,24.53,15.84,0
"PU003_San Costanzo",2019,9,11,23.61,14.77,0
"PU003_San Costanzo",2019,9,12,24.73,15.74,0
"PU003_San Costanzo",2019,9,13,25.03,15.75,0
"PU003_San Costanzo",2019,9,14,25.31,16.32,0
"PU003_San Costanzo",2019,9,15,24.63,16.82,0
"PU003_San Costanzo",2019,9,16,25.67,18.11,0
"PU003_San Costanzo",2019,9,17,27.45,19.54,0
"PU003_San Costanzo",2019,9,18,26.55,18.5,35.2
"PU003_San Costanzo",2019,9,19,21.08,13.28,4.6
"PU003_San Costanzo",2019,9,20,20.41,11.24,0
"PU003_San Costanzo",2019,9,21,20.26,13.04,0
"PU003_San Costanzo",2019,9,22,20.22,16.22,2.9
"PU003_San Costanzo",2019,9,23,23.37,15.27,23
"PU003_San Costanzo",2019,9,24,22.12,14.88,0
"PU003_San Costanzo",2019,9,25,24.21,14.93,0
"PU003_San Costanzo",2019,9,26,22.03,15.04,0
"PU003_San Costanzo",2019,9,27,24.25,17.47,0
"PU003_San Costanzo",2019,9,28,27.59,16.53,0
"PU003_San Costanzo",2019,9,29,25.99,17.21,0
"PU003_San Costanzo",2019,9,30,28.49,16.4,0
"PU003_San Costanzo",2019,10,1,24.59,17.22,0
"PU003_San Costanzo",2019,10,2,26.63,13.61,20
"PU003_San Costanzo",2019,10,3,16.06,10.57,2.8
"PU003_San Costanzo",2019,10,4,17.79,11.98,1.8
"PU003_San Costanzo",2019,10,5,19.51,11.34,0
"PU003_San Costanzo",2019,10,6,19.61,13.16,0
"PU003_San Costanzo",2019,10,7,19.82,10.11,0
"PU003_San Costanzo",2019,10,8,18.86,9.47,0
"PU003_San Costanzo",2019,10,9,24.4,17.97,0
"PU003_San Costanzo",2019,10,10,22.1,14.76,0
"PU003_San Costanzo",2019,10,11,20.02,12.6,0
"PU003_San Costanzo",2019,10,12,20.9,13.05,0
"PU003_San Costanzo",2019,10,13,20.36,12.76,0
"PU003_San Costanzo",2019,10,14,19.84,12.75,0
"PU003_San Costanzo",2019,10,15,23.59,15.29,0
"PU003_San Costanzo",2019,10,16,23,11.54,0
"PU003_San Costanzo",2019,10,17,20.4,11.44,0
"PU003_San Costanzo",2019,10,18,22.25,11.71,0
"PU003_San Costanzo",2019,10,19,23.61,11.51,0
"PU003_San Costanzo",2019,10,20,21.99,13.52,0
"PU003_San Costanzo",2019,10,21,22.98,13.24,0
"PU003_San Costanzo",2019,10,22,19.53,13.09,0
"PU003_San Costanzo",2019,10,23,20.28,11.54,0
"PU003_San Costanzo",2019,10,24,20.1,13.27,0
"PU003_San Costanzo",2019,10,25,20.15,12.77,0
"PU003_San Costanzo",2019,10,26,20.71,10.26,0
"PU003_San Costanzo",2019,10,27,21.11,9.73,0
"PU003_San Costanzo",2019,10,28,19.54,12.49,0
"PU003_San Costanzo",2019,10,29,22.43,15.65,10.5
"PU003_San Costanzo",2019,10,30,18.14,13.89,5.6
"PU003_San Costanzo",2019,10,31,14.61,11.51,2.5
"PU003_San Costanzo",2019,11,1,13.55,11.82,1
"PU003_San Costanzo",2019,11,2,19.1,13.88,5.2
"PU003_San Costanzo",2019,11,3,21.63,13.02,5.7
"PU003_San Costanzo",2019,11,4,20.33,14.06,0
"PU003_San Costanzo",2019,11,5,22.47,10.86,3.3
"PU003_San Costanzo",2019,11,6,16.94,7.64,3.8
"PU003_San Costanzo",2019,11,7,16.14,8.25,0
"PU003_San Costanzo",2019,11,8,16.45,8.23,0
"PU003_San Costanzo",2019,11,9,16.4,8.44,0
"PU003_San Costanzo",2019,11,10,13.77,8.63,0.5
"PU003_San Costanzo",2019,11,11,12.63,9.91,4.3
"PU003_San Costanzo",2019,11,12,11.56,9.41,17.1
"PU003_San Costanzo",2019,11,13,14.04,7.52,1
"PU003_San Costanzo",2019,11,14,14.15,8.95,0
"PU003_San Costanzo",2019,11,15,16.2,10.8,12.3
"PU003_San Costanzo",2019,11,16,16.89,10.55,6.9
"PU003_San Costanzo",2019,11,17,13.7,6.22,1.4
"PU003_San Costanzo",2019,11,18,15.8,9.38,0
"PU003_San Costanzo",2019,11,19,12.82,8.56,0.9
"PU003_San Costanzo",2019,11,20,14.19,7.65,0
"PU003_San Costanzo",2019,11,21,15.71,5.9,0
"PU003_San Costanzo",2019,11,22,14.49,6.88,0
"PU003_San Costanzo",2019,11,23,16.13,9.71,0
"PU003_San Costanzo",2019,11,24,16.35,11.38,5.2
"PU003_San Costanzo",2019,11,25,17.34,8.23,0
"PU003_San Costanzo",2019,11,26,15.88,8.52,0
"PU003_San Costanzo",2019,11,27,16.07,10.94,0
"PU003_San Costanzo",2019,11,28,17.24,7.13,0
"PU003_San Costanzo",2019,11,29,17.19,7.7,0
"PU003_San Costanzo",2019,11,30,11.4,6.82,0
"PU003_San Costanzo",2019,12,1,14.55,7.31,0
"PU003_San Costanzo",2019,12,2,10.28,7.39,29.1
"PU003_San Costanzo",2019,12,3,11.3,3.82,0
"PU003_San Costanzo",2019,12,4,9.94,2.06,0
"PU003_San Costanzo",2019,12,5,8.51,2.59,0
"PU003_San Costanzo",2019,12,6,8.05,4.3,0
"PU003_San Costanzo",2019,12,7,9.84,3.63,0
"PU003_San Costanzo",2019,12,8,12.33,4.6,0
"PU003_San Costanzo",2019,12,9,15.94,5.6,0
"PU003_San Costanzo",2019,12,10,12.2,4.95,0
"PU003_San Costanzo",2019,12,11,10.44,-0.77,0
"PU003_San Costanzo",2019,12,12,4.32,-0.83,0
"PU003_San Costanzo",2019,12,13,9.25,2.83,10.6
"PU003_San Costanzo",2019,12,14,15.77,5.14,0
"PU003_San Costanzo",2019,12,15,17.27,5.78,0
"PU003_San Costanzo",2019,12,16,16.82,6.3,0
"PU003_San Costanzo",2019,12,17,15.33,6.7,0
"PU003_San Costanzo",2019,12,18,13.5,7.95,0
"PU003_San Costanzo",2019,12,19,11.05,6.17,1.8
"PU003_San Costanzo",2019,12,20,16.67,9,1.7
"PU003_San Costanzo",2019,12,21,19.36,11.24,10.2
"PU003_San Costanzo",2019,12,22,13.32,6.11,2.7
"PU003_San Costanzo",2019,12,23,15.64,4.92,0
"PU003_San Costanzo",2019,12,24,16.48,4.42,0
"PU003_San Costanzo",2019,12,25,13.74,2.87,0
"PU003_San Costanzo",2019,12,26,12.19,2.99,0
"PU003_San Costanzo",2019,12,27,10.26,4,0
"PU003_San Costanzo",2019,12,28,9.3,5.91,0
"PU003_San Costanzo",2019,12,29,7.59,1.59,0
"PU003_San Costanzo",2019,12,30,5.83,-0.67,0
"PU003_San Costanzo",2019,12,31,8.67,-0.93,0
"PU003_San Costanzo",2020,1,1,10.05,0.87,0
"PU003_San Costanzo",2020,1,2,8.87,0.02,0
"PU003_San Costanzo",2020,1,3,10.07,2.71,0
"PU003_San Costanzo",2020,1,4,9.32,1.96,0
"PU003_San Costanzo",2020,1,5,10.86,1.09,0
"PU003_San Costanzo",2020,1,6,9.15,-0.81,0
"PU003_San Costanzo",2020,1,7,6.28,-1.15,0
"PU003_San Costanzo",2020,1,8,8.21,-0.5,0
"PU003_San Costanzo",2020,1,9,8.99,0.44,0
"PU003_San Costanzo",2020,1,10,15.1,1.55,0
"PU003_San Costanzo",2020,1,11,8.48,2.97,0
"PU003_San Costanzo",2020,1,12,9.34,-0.04,0
"PU003_San Costanzo",2020,1,13,9.12,-0.47,0
"PU003_San Costanzo",2020,1,14,7.97,2.09,0
"PU003_San Costanzo",2020,1,15,8.43,2.72,0
"PU003_San Costanzo",2020,1,16,9.79,1,0
"PU003_San Costanzo",2020,1,17,10.45,3.61,0
"PU003_San Costanzo",2020,1,18,9.23,6.03,10.6
"PU003_San Costanzo",2020,1,19,9.11,5.49,4.9
"PU003_San Costanzo",2020,1,20,9.03,2.26,0
"PU003_San Costanzo",2020,1,21,7.68,1.69,0
"PU003_San Costanzo",2020,1,22,8.67,1.14,0
"PU003_San Costanzo",2020,1,23,9.84,1.62,0
"PU003_San Costanzo",2020,1,24,8.63,3.12,3.2
"PU003_San Costanzo",2020,1,25,6.86,5.51,1.5
"PU003_San Costanzo",2020,1,26,7.51,3.23,0
"PU003_San Costanzo",2020,1,27,12.47,5.12,0
"PU003_San Costanzo",2020,1,28,15.65,10.13,0
"PU003_San Costanzo",2020,1,29,15.75,4.09,0
"PU003_San Costanzo",2020,1,30,15,5.64,0
"PU003_San Costanzo",2020,1,31,16.34,8.45,0
"PU003_San Costanzo",2020,2,1,17.05,6.75,0
"PU003_San Costanzo",2020,2,2,13.46,6.69,0
"PU003_San Costanzo",2020,2,3,16.57,5.56,0
"PU003_San Costanzo",2020,2,4,18.67,6.5,1.5
"PU003_San Costanzo",2020,2,5,11.66,7.31,0
"PU003_San Costanzo",2020,2,6,9.96,-0.93,0
"PU003_San Costanzo",2020,2,7,10.74,-0.36,0
"PU003_San Costanzo",2020,2,8,9.82,0.75,0
"PU003_San Costanzo",2020,2,9,13.78,4.68,0
"PU003_San Costanzo",2020,2,10,17.6,13.69,0
"PU003_San Costanzo",2020,2,11,19.77,8.48,0
"PU003_San Costanzo",2020,2,12,14.06,2.97,0
